"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.0940, 1.67603E-01,03-25-18,14:17:58
.0960, 1.11450E-01,03-27-18,14:17:58
.0980, 2.73438E-02,03-27-18,14:17:58
.1000,-6.39648E-02,03-27-18,14:17:58
.1020,-1.40137E-01,03-27-18,14:17:58
.1040,-1.81885E-01,03-27-18,14:17:58
.1060,-1.78711E-01,03-27-18,14:17:58
.1080,-1.31348E-01,03-27-18,14:17:58
.1100,-5.13916E-02,03-27-18,14:17:58
.1120, 4.12598E-02,03-27-18,14:17:58
.1140, 1.23901E-01,03-27-18,14:17:58
.1160, 1.76025E-01,03-27-18,14:17:58
.1180, 1.84448E-01,03-27-18,14:17:58
.1200, 1.47095E-01,03-27-18,14:17:58
.1220, 7.32422E-02,03-27-18,14:17:58
.1240,-1.89209E-02,03-27-18,14:17:58
.1260,-1.06689E-01,03-27-18,14:17:58
.1280,-1.68457E-01,03-27-18,14:17:58
.1300,-1.88477E-01,03-27-18,14:17:58
.1320,-1.61987E-01,03-27-18,14:17:58
.1340,-9.54590E-02,03-27-18,14:17:58
.1360,-5.37109E-03,03-27-18,14:17:58
.1380, 8.58154E-02,03-27-18,14:17:58
.1400, 1.55762E-01,03-27-18,14:17:58
.1420, 1.87134E-01,03-27-18,14:17:58
.1440, 1.71997E-01,03-27-18,14:17:58
.1460, 1.14258E-01,03-27-18,14:17:58
.1480, 2.81982E-02,03-27-18,14:17:58
.1500,-6.50635E-02,03-27-18,14:17:58
.1520,-1.42334E-01,03-27-18,14:17:58
.1540,-1.84570E-01,03-27-18,14:17:58
.1560,-1.81274E-01,03-27-18,14:17:58
.1580,-1.33057E-01,03-27-18,14:17:58
.1600,-5.21240E-02,03-27-18,14:17:58
.1620, 4.15039E-02,03-27-18,14:17:58
.1640, 1.24878E-01,03-27-18,14:17:58
.1660, 1.77246E-01,03-27-18,14:17:58
.1680, 1.85547E-01,03-27-18,14:17:58
.1700, 1.47949E-01,03-27-18,14:17:58
.1720, 7.36084E-02,03-27-18,14:17:58
.1740,-1.90430E-02,03-27-18,14:17:58
.1760,-1.07178E-01,03-27-18,14:17:58
.1780,-1.68945E-01,03-27-18,14:17:58
.1800,-1.89087E-01,03-27-18,14:17:58
.1820,-1.62476E-01,03-27-18,14:17:58
.1840,-9.57031E-02,03-27-18,14:17:58
.1860,-5.49316E-03,03-27-18,14:17:58
.1880, 8.59375E-02,03-25-18,14:17:58
