"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.2920,-5.17578E-02,03-22-18,14:16:40
.2940,-3.29590E-03,03-27-18,14:16:40
.2960, 4.63867E-02,03-27-18,14:16:40
.2980, 7.05566E-02,03-27-18,14:16:40
.3000, 5.60303E-02,03-27-18,14:16:40
.3020, 1.06201E-02,03-27-18,14:16:40
.3040,-4.08936E-02,03-27-18,14:16:40
.3060,-7.08008E-02,03-27-18,14:16:40
.3080,-6.27441E-02,03-27-18,14:16:40
.3100,-2.11182E-02,03-27-18,14:16:40
.3120, 3.14941E-02,03-27-18,14:16:40
.3140, 6.65283E-02,03-27-18,14:16:40
.3160, 6.51855E-02,03-27-18,14:16:40
.3180, 2.79541E-02,03-27-18,14:16:40
.3200,-2.47803E-02,03-27-18,14:16:40
.3220,-6.46973E-02,03-27-18,14:16:40
.3240,-6.98242E-02,03-27-18,14:16:40
.3260,-3.75977E-02,03-27-18,14:16:40
.3280, 1.44043E-02,03-27-18,14:16:40
.3300, 5.83496E-02,03-27-18,14:16:40
.3320, 7.00684E-02,03-27-18,14:16:40
.3340, 4.33350E-02,03-27-18,14:16:40
.3360,-7.32422E-03,03-27-18,14:16:40
.3380,-5.44434E-02,03-27-18,14:16:40
.3400,-7.26318E-02,03-27-18,14:16:40
.3420,-5.17578E-02,03-27-18,14:16:40
.3440,-3.29590E-03,03-27-18,14:16:40
.3460, 4.63867E-02,03-27-18,14:16:40
.3480, 7.05566E-02,03-27-18,14:16:40
.3500, 5.59082E-02,03-27-18,14:16:40
.3520, 1.06201E-02,03-27-18,14:16:40
.3540,-4.08936E-02,03-27-18,14:16:40
.3560,-7.08008E-02,03-27-18,14:16:40
.3580,-6.27441E-02,03-27-18,14:16:40
.3600,-2.09961E-02,03-27-18,14:16:40
.3620, 3.14941E-02,03-27-18,14:16:40
.3640, 6.65283E-02,03-27-18,14:16:40
.3660, 6.50635E-02,03-27-18,14:16:40
.3680, 2.78320E-02,03-27-18,14:16:40
.3700,-2.49023E-02,03-27-18,14:16:40
.3720,-6.46973E-02,03-27-18,14:16:40
.3740,-6.98242E-02,03-27-18,14:16:40
.3760,-3.75977E-02,03-27-18,14:16:40
.3780, 1.45264E-02,03-27-18,14:16:40
.3800, 5.83496E-02,03-27-18,14:16:40
.3820, 7.00684E-02,03-27-18,14:16:40
.3840, 4.33350E-02,03-27-18,14:16:40
.3860,-7.32422E-03,03-22-18,14:16:40
