"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.3940, 1.21582E-01,03-27-18,14:18:57
.3960, 1.73340E-01,03-27-18,14:18:57
.3980, 2.00562E-01,03-27-18,14:18:57
.4000, 1.99585E-01,03-27-18,14:18:57
.4020, 1.70532E-01,03-27-18,14:18:57
.4040, 1.17432E-01,03-27-18,14:18:57
.4060, 4.77295E-02,03-27-18,14:18:57
.4080,-2.85645E-02,03-27-18,14:18:57
.4100,-1.01196E-01,03-27-18,14:18:57
.4120,-1.59546E-01,03-27-18,14:18:57
.4140,-1.95557E-01,03-27-18,14:18:57
.4160,-2.04224E-01,03-27-18,14:18:57
.4180,-1.84204E-01,03-27-18,14:18:57
.4200,-1.38306E-01,03-27-18,14:18:57
.4220,-7.31201E-02,03-27-18,14:18:57
.4240, 2.19727E-03,03-27-18,14:18:57
.4260, 7.71484E-02,03-27-18,14:18:57
.4280, 1.41235E-01,03-27-18,14:18:57
.4300, 1.85425E-01,03-27-18,14:18:57
.4320, 2.03491E-01,03-27-18,14:18:57
.4340, 1.92871E-01,03-27-18,14:18:57
.4360, 1.55151E-01,03-27-18,14:18:57
.4380, 9.55811E-02,03-27-18,14:18:57
.4400, 2.25830E-02,03-27-18,14:18:57
.4420,-5.37109E-02,03-27-18,14:18:57
.4440,-1.22559E-01,03-27-18,14:18:57
.4460,-1.74438E-01,03-27-18,14:18:57
.4480,-2.01660E-01,03-27-18,14:18:57
.4500,-2.00684E-01,03-27-18,14:18:57
.4520,-1.71509E-01,03-27-18,14:18:57
.4540,-1.18286E-01,03-27-18,14:18:57
.4560,-4.85840E-02,03-27-18,14:18:57
.4580, 2.78320E-02,03-27-18,14:18:57
.4600, 1.00220E-01,03-27-18,14:18:57
.4620, 1.58569E-01,03-27-18,14:18:57
.4640, 1.94580E-01,03-27-18,14:18:57
.4660, 2.03125E-01,03-27-18,14:18:57
.4680, 1.83105E-01,03-27-18,14:18:57
.4700, 1.37329E-01,03-27-18,14:18:57
.4720, 7.21436E-02,03-27-18,14:18:57
.4740,-3.17383E-03,03-27-18,14:18:57
.4760,-7.81250E-02,03-27-18,14:18:57
.4780,-1.42334E-01,03-27-18,14:18:57
.4800,-1.86523E-01,03-27-18,14:18:57
.4820,-2.04590E-01,03-27-18,14:18:57
.4840,-1.93970E-01,03-27-18,14:18:57
.4860,-1.56128E-01,03-27-18,14:18:57
.4880,-9.64355E-02,03-27-18,14:18:57
