"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.6980, 1.63574E-02,03-26-18,14:18:32
.7000,-9.27734E-03,03-27-18,14:18:32
.7020,-3.49121E-02,03-27-18,14:18:32
.7040,-6.01807E-02,03-27-18,14:18:32
.7060,-8.47168E-02,03-27-18,14:18:32
.7080,-1.08154E-01,03-27-18,14:18:32
.7100,-1.30127E-01,03-27-18,14:18:32
.7120,-1.50024E-01,03-27-18,14:18:32
.7140,-1.67725E-01,03-27-18,14:18:32
.7160,-1.82861E-01,03-27-18,14:18:32
.7180,-1.95190E-01,03-27-18,14:18:32
.7200,-2.04590E-01,03-27-18,14:18:32
.7220,-2.10815E-01,03-27-18,14:18:32
.7240,-2.13623E-01,03-27-18,14:18:32
.7260,-2.13135E-01,03-27-18,14:18:32
.7280,-2.09229E-01,03-27-18,14:18:32
.7300,-2.01782E-01,03-27-18,14:18:32
.7320,-1.91284E-01,03-27-18,14:18:32
.7340,-1.77734E-01,03-27-18,14:18:32
.7360,-1.61255E-01,03-27-18,14:18:32
.7380,-1.42090E-01,03-27-18,14:18:32
.7400,-1.20605E-01,03-27-18,14:18:32
.7420,-9.70459E-02,03-27-18,14:18:32
.7440,-7.18994E-02,03-27-18,14:18:32
.7460,-4.54102E-02,03-27-18,14:18:32
.7480,-1.81885E-02,03-27-18,14:18:32
.7500, 9.15527E-03,03-27-18,14:18:32
.7520, 3.66211E-02,03-27-18,14:18:32
.7540, 6.34766E-02,03-27-18,14:18:32
.7560, 8.93555E-02,03-27-18,14:18:32
.7580, 1.13892E-01,03-27-18,14:18:32
.7600, 1.36719E-01,03-27-18,14:18:32
.7620, 1.57471E-01,03-27-18,14:18:32
.7640, 1.75659E-01,03-27-18,14:18:32
.7660, 1.91040E-01,03-27-18,14:18:32
.7680, 2.03491E-01,03-27-18,14:18:32
.7700, 2.12646E-01,03-27-18,14:18:32
.7720, 2.18384E-01,03-27-18,14:18:32
.7740, 2.20581E-01,03-27-18,14:18:32
.7760, 2.19482E-01,03-27-18,14:18:32
.7780, 2.14844E-01,03-27-18,14:18:32
.7800, 2.06787E-01,03-27-18,14:18:32
.7820, 1.95557E-01,03-27-18,14:18:32
.7840, 1.81152E-01,03-27-18,14:18:32
.7860, 1.63818E-01,03-27-18,14:18:32
.7880, 1.43921E-01,03-27-18,14:18:32
.7900, 1.21704E-01,03-27-18,14:18:32
.7920, 9.76563E-02,03-26-18,14:18:32
