"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.6940,-7.20215E-02,03-22-18,14:16:40
.6960,-3.58887E-02,03-22-18,14:16:40
.6980, 1.35498E-02,03-22-18,14:16:40
.7000, 5.76172E-02,03-22-18,14:16:40
.7020, 7.93457E-02,03-22-18,14:16:40
.7040, 7.04346E-02,03-22-18,14:16:40
.7060, 3.43018E-02,03-22-18,14:16:40
.7080,-1.52588E-02,03-22-18,14:16:40
.7100,-5.93262E-02,03-22-18,14:16:40
.7120,-8.09326E-02,03-22-18,14:16:40
.7140,-7.20215E-02,03-22-18,14:16:40
.7160,-3.58887E-02,03-22-18,14:16:40
.7180, 1.35498E-02,03-22-18,14:16:40
.7200, 5.76172E-02,03-22-18,14:16:40
.7220, 7.92236E-02,03-22-18,14:16:40
.7240, 7.03125E-02,03-22-18,14:16:40
.7260, 3.41797E-02,03-22-18,14:16:40
.7280,-1.51367E-02,03-22-18,14:16:40
.7300,-5.92041E-02,03-22-18,14:16:40
.7320,-8.09326E-02,03-22-18,14:16:40
.7340,-7.21436E-02,03-22-18,14:16:40
.7360,-3.58887E-02,03-22-18,14:16:40
.7380, 1.35498E-02,03-22-18,14:16:40
.7400, 5.74951E-02,03-22-18,14:16:40
.7420, 7.92236E-02,03-22-18,14:16:40
.7440, 7.03125E-02,03-22-18,14:16:40
.7460, 3.41797E-02,03-22-18,14:16:40
.7480,-1.53809E-02,03-22-18,14:16:40
.7500,-5.93262E-02,03-22-18,14:16:40
.7520,-8.10547E-02,03-22-18,14:16:40
.7540,-7.20215E-02,03-22-18,14:16:40
.7560,-3.58887E-02,03-22-18,14:16:40
.7580, 1.35498E-02,03-22-18,14:16:40
.7600, 5.76172E-02,03-22-18,14:16:40
.7620, 7.93457E-02,03-22-18,14:16:40
.7640, 7.03125E-02,03-22-18,14:16:40
.7660, 3.41797E-02,03-22-18,14:16:40
.7680,-1.52588E-02,03-22-18,14:16:40
.7700,-5.93262E-02,03-22-18,14:16:40
.7720,-8.09326E-02,03-22-18,14:16:40
.7740,-7.20215E-02,03-22-18,14:16:40
.7760,-3.58887E-02,03-22-18,14:16:40
.7780, 1.35498E-02,03-22-18,14:16:40
.7800, 5.76172E-02,03-22-18,14:16:40
.7820, 7.92236E-02,03-22-18,14:16:40
.7840, 7.03125E-02,03-22-18,14:16:40
.7860, 3.41797E-02,03-22-18,14:16:40
.7880,-1.53809E-02,03-22-18,14:16:40
