"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.3940,-1.16577E-01,03-23-18,14:17:07
.3960,-5.00488E-02,03-27-18,14:17:07
.3980, 4.32129E-02,03-27-18,14:17:07
.4000, 1.12915E-01,03-27-18,14:17:07
.4020, 1.21094E-01,03-27-18,14:17:07
.4040, 6.33545E-02,03-27-18,14:17:07
.4060,-2.90527E-02,03-27-18,14:17:07
.4080,-1.06201E-01,03-27-18,14:17:07
.4100,-1.26099E-01,03-27-18,14:17:07
.4120,-7.78809E-02,03-27-18,14:17:07
.4140, 1.24512E-02,03-27-18,14:17:07
.4160, 9.60693E-02,03-27-18,14:17:07
.4180, 1.27441E-01,03-27-18,14:17:07
.4200, 8.94775E-02,03-27-18,14:17:07
.4220, 2.44141E-03,03-27-18,14:17:07
.4240,-8.64258E-02,03-27-18,14:17:07
.4260,-1.29028E-01,03-27-18,14:17:07
.4280,-1.01929E-01,03-27-18,14:17:07
.4300,-1.95313E-02,03-27-18,14:17:07
.4320, 7.36084E-02,03-27-18,14:17:07
.4340, 1.27075E-01,03-27-18,14:17:07
.4360, 1.11450E-01,03-27-18,14:17:07
.4380, 3.49121E-02,03-27-18,14:17:07
.4400,-6.11572E-02,03-27-18,14:17:07
.4420,-1.24756E-01,03-27-18,14:17:07
.4440,-1.21094E-01,03-27-18,14:17:07
.4460,-5.18799E-02,03-27-18,14:17:07
.4480, 4.54102E-02,03-27-18,14:17:07
.4500, 1.18164E-01,03-27-18,14:17:07
.4520, 1.26709E-01,03-27-18,14:17:07
.4540, 6.62842E-02,03-27-18,14:17:07
.4560,-3.05176E-02,03-27-18,14:17:07
.4580,-1.11450E-01,03-27-18,14:17:07
.4600,-1.32324E-01,03-27-18,14:17:07
.4620,-8.15430E-02,03-27-18,14:17:07
.4640, 1.33057E-02,03-27-18,14:17:07
.4660, 1.01196E-01,03-27-18,14:17:07
.4680, 1.34155E-01,03-27-18,14:17:07
.4700, 9.42383E-02,03-27-18,14:17:07
.4720, 2.68555E-03,03-27-18,14:17:07
.4740,-9.08203E-02,03-27-18,14:17:07
.4760,-1.35498E-01,03-27-18,14:17:07
.4780,-1.07056E-01,03-27-18,14:17:07
.4800,-2.05078E-02,03-27-18,14:17:07
.4820, 7.71484E-02,03-27-18,14:17:07
.4840, 1.33179E-01,03-27-18,14:17:07
.4860, 1.16699E-01,03-27-18,14:17:07
.4880, 3.66211E-02,03-23-18,14:17:07
