"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.2940,-1.03638E-01,03-23-18,14:17:07
.2960,-4.44336E-02,03-27-18,14:17:07
.2980, 3.88184E-02,03-27-18,14:17:07
.3000, 1.01440E-01,03-27-18,14:17:07
.3020, 1.09009E-01,03-27-18,14:17:07
.3040, 5.68848E-02,03-27-18,14:17:07
.3060,-2.66113E-02,03-27-18,14:17:07
.3080,-9.64355E-02,03-27-18,14:17:07
.3100,-1.14624E-01,03-27-18,14:17:07
.3120,-7.08008E-02,03-27-18,14:17:07
.3140, 1.14746E-02,03-27-18,14:17:07
.3160, 8.76465E-02,03-27-18,14:17:07
.3180, 1.16333E-01,03-27-18,14:17:07
.3200, 8.16650E-02,03-27-18,14:17:07
.3220, 2.07520E-03,03-27-18,14:17:07
.3240,-7.93457E-02,03-27-18,14:17:07
.3260,-1.18530E-01,03-27-18,14:17:07
.3280,-9.37500E-02,03-27-18,14:17:07
.3300,-1.80664E-02,03-27-18,14:17:07
.3320, 6.76270E-02,03-27-18,14:17:07
.3340, 1.16943E-01,03-27-18,14:17:07
.3360, 1.02661E-01,03-27-18,14:17:07
.3380, 3.21045E-02,03-27-18,14:17:07
.3400,-5.63965E-02,03-27-18,14:17:07
.3420,-1.15234E-01,03-27-18,14:17:07
.3440,-1.11938E-01,03-27-18,14:17:07
.3460,-4.80957E-02,03-27-18,14:17:07
.3480, 4.19922E-02,03-27-18,14:17:07
.3500, 1.09497E-01,03-27-18,14:17:07
.3520, 1.17676E-01,03-27-18,14:17:07
.3540, 6.15234E-02,03-27-18,14:17:07
.3560,-2.85645E-02,03-27-18,14:17:07
.3580,-1.04004E-01,03-27-18,14:17:07
.3600,-1.23657E-01,03-27-18,14:17:07
.3620,-7.62939E-02,03-27-18,14:17:07
.3640, 1.23291E-02,03-27-18,14:17:07
.3660, 9.43604E-02,03-27-18,14:17:07
.3680, 1.25244E-01,03-27-18,14:17:07
.3700, 8.80127E-02,03-27-18,14:17:07
.3720, 2.56348E-03,03-27-18,14:17:07
.3740,-8.47168E-02,03-27-18,14:17:07
.3760,-1.26587E-01,03-27-18,14:17:07
.3780,-9.99756E-02,03-27-18,14:17:07
.3800,-1.94092E-02,03-27-18,14:17:07
.3820, 7.14111E-02,03-27-18,14:17:07
.3840, 1.23291E-01,03-27-18,14:17:07
.3860, 1.08154E-01,03-27-18,14:17:07
.3880, 3.40576E-02,03-23-18,14:17:07
