"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.8960, 1.73828E-01,03-27-18,14:18:57
.8980, 2.01050E-01,03-27-18,14:18:57
.9000, 1.99951E-01,03-27-18,14:18:57
.9020, 1.70654E-01,03-27-18,14:18:57
.9040, 1.17310E-01,03-27-18,14:18:57
.9060, 4.74854E-02,03-27-18,14:18:57
.9080,-2.90527E-02,03-27-18,14:18:57
.9100,-1.01685E-01,03-27-18,14:18:57
.9120,-1.60034E-01,03-27-18,14:18:57
.9140,-1.96045E-01,03-27-18,14:18:57
.9160,-2.04590E-01,03-27-18,14:18:57
.9180,-1.84448E-01,03-27-18,14:18:57
.9200,-1.38306E-01,03-27-18,14:18:57
.9220,-7.28760E-02,03-27-18,14:18:57
.9240, 2.56348E-03,03-27-18,14:18:57
.9260, 7.76367E-02,03-27-18,14:18:57
.9280, 1.41724E-01,03-27-18,14:18:57
.9300, 1.85913E-01,03-27-18,14:18:57
.9320, 2.03979E-01,03-27-18,14:18:57
.9340, 1.93115E-01,03-27-18,14:18:57
.9360, 1.55273E-01,03-27-18,14:18:57
.9380, 9.54590E-02,03-27-18,14:18:57
.9400, 2.22168E-02,03-27-18,14:18:57
.9420,-5.41992E-02,03-27-18,14:18:57
.9440,-1.23169E-01,03-27-18,14:18:57
.9460,-1.74927E-01,03-27-18,14:18:57
.9480,-2.02148E-01,03-27-18,14:18:57
.9500,-2.01050E-01,03-27-18,14:18:57
.9520,-1.71631E-01,03-27-18,14:18:57
.9540,-1.18164E-01,03-27-18,14:18:57
.9560,-4.82178E-02,03-27-18,14:18:57
.9580, 2.83203E-02,03-27-18,14:18:57
.9600, 1.00952E-01,03-27-18,14:18:57
.9620, 1.59424E-01,03-27-18,14:18:57
.9640, 1.95557E-01,03-27-18,14:18:57
.9660, 2.04102E-01,03-27-18,14:18:57
.9680, 1.83838E-01,03-27-18,14:18:57
.9700, 1.37817E-01,03-27-18,14:18:57
.9720, 7.22656E-02,03-27-18,14:18:57
.9740,-3.54004E-03,03-27-18,14:18:57
.9760,-7.91016E-02,03-27-18,14:18:57
.9780,-1.43921E-01,03-27-18,14:18:57
.9800,-1.88843E-01,03-27-18,14:18:57
.9820,-2.07275E-01,03-27-18,14:18:57
.9840,-1.96777E-01,03-27-18,14:18:57
.9860,-1.58447E-01,03-27-18,14:18:57
.9880,-9.76563E-02,03-27-18,14:18:57
.9900,-2.31934E-02,03-27-18,14:18:57
