"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.4960, 3.96729E-02,03-26-18,14:18:32
.4980, 1.56250E-02,03-27-18,14:18:32
.5000,-8.66699E-03,03-27-18,14:18:32
.5020,-3.29590E-02,03-27-18,14:18:32
.5040,-5.66406E-02,03-27-18,14:18:32
.5060,-7.94678E-02,03-27-18,14:18:32
.5080,-1.01074E-01,03-27-18,14:18:32
.5100,-1.21216E-01,03-27-18,14:18:32
.5120,-1.39282E-01,03-27-18,14:18:32
.5140,-1.55273E-01,03-27-18,14:18:32
.5160,-1.68701E-01,03-27-18,14:18:32
.5180,-1.79565E-01,03-27-18,14:18:32
.5200,-1.87622E-01,03-27-18,14:18:32
.5220,-1.92749E-01,03-27-18,14:18:32
.5240,-1.94702E-01,03-27-18,14:18:32
.5260,-1.93604E-01,03-27-18,14:18:32
.5280,-1.89453E-01,03-27-18,14:18:32
.5300,-1.82373E-01,03-27-18,14:18:32
.5320,-1.72363E-01,03-27-18,14:18:32
.5340,-1.59668E-01,03-27-18,14:18:32
.5360,-1.44531E-01,03-27-18,14:18:32
.5380,-1.27075E-01,03-27-18,14:18:32
.5400,-1.07544E-01,03-27-18,14:18:32
.5420,-8.64258E-02,03-27-18,14:18:32
.5440,-6.39648E-02,03-27-18,14:18:32
.5460,-4.05273E-02,03-27-18,14:18:32
.5480,-1.63574E-02,03-27-18,14:18:32
.5500, 7.93457E-03,03-27-18,14:18:32
.5520, 3.21045E-02,03-27-18,14:18:32
.5540, 5.57861E-02,03-27-18,14:18:32
.5560, 7.86133E-02,03-27-18,14:18:32
.5580, 1.00098E-01,03-27-18,14:18:32
.5600, 1.19995E-01,03-27-18,14:18:32
.5620, 1.38184E-01,03-27-18,14:18:32
.5640, 1.54053E-01,03-27-18,14:18:32
.5660, 1.67603E-01,03-27-18,14:18:32
.5680, 1.78345E-01,03-27-18,14:18:32
.5700, 1.86401E-01,03-27-18,14:18:32
.5720, 1.91528E-01,03-27-18,14:18:32
.5740, 1.93481E-01,03-27-18,14:18:32
.5760, 1.92383E-01,03-27-18,14:18:32
.5780, 1.88354E-01,03-27-18,14:18:32
.5800, 1.81274E-01,03-27-18,14:18:32
.5820, 1.71265E-01,03-27-18,14:18:32
.5840, 1.58569E-01,03-27-18,14:18:32
.5860, 1.43555E-01,03-27-18,14:18:32
.5880, 1.26099E-01,03-27-18,14:18:32
.5900, 1.06689E-01,03-26-18,14:18:32
