"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.1940,-9.60693E-02,03-23-18,14:17:07
.1960,-4.15039E-02,03-27-18,14:17:07
.1980, 3.55225E-02,03-27-18,14:17:07
.2000, 9.31396E-02,03-27-18,14:17:07
.2020, 1.00098E-01,03-27-18,14:17:07
.2040, 5.23682E-02,03-27-18,14:17:07
.2060,-2.41699E-02,03-27-18,14:17:07
.2080,-8.81348E-02,03-27-18,14:17:07
.2100,-1.04736E-01,03-27-18,14:17:07
.2120,-6.48193E-02,03-27-18,14:17:07
.2140, 1.00098E-02,03-27-18,14:17:07
.2160, 7.93457E-02,03-27-18,14:17:07
.2180, 1.05469E-01,03-27-18,14:17:07
.2200, 7.40967E-02,03-27-18,14:17:07
.2220, 2.07520E-03,03-27-18,14:17:07
.2240,-7.16553E-02,03-27-18,14:17:07
.2260,-1.06934E-01,03-27-18,14:17:07
.2280,-8.45947E-02,03-27-18,14:17:07
.2300,-1.66016E-02,03-27-18,14:17:07
.2320, 6.03027E-02,03-27-18,14:17:07
.2340, 1.04370E-01,03-27-18,14:17:07
.2360, 9.15527E-02,03-27-18,14:17:07
.2380, 2.86865E-02,03-27-18,14:17:07
.2400,-5.02930E-02,03-27-18,14:17:07
.2420,-1.02539E-01,03-27-18,14:17:07
.2440,-9.96094E-02,03-27-18,14:17:07
.2460,-4.28467E-02,03-27-18,14:17:07
.2480, 3.68652E-02,03-27-18,14:17:07
.2500, 9.65576E-02,03-27-18,14:17:07
.2520, 1.03760E-01,03-27-18,14:17:07
.2540, 5.41992E-02,03-27-18,14:17:07
.2560,-2.50244E-02,03-27-18,14:17:07
.2580,-9.13086E-02,03-27-18,14:17:07
.2600,-1.08521E-01,03-27-18,14:17:07
.2620,-6.71387E-02,03-27-18,14:17:07
.2640, 1.04980E-02,03-27-18,14:17:07
.2660, 8.21533E-02,03-27-18,14:17:07
.2680, 1.09253E-01,03-27-18,14:17:07
.2700, 7.66602E-02,03-27-18,14:17:07
.2720, 2.19727E-03,03-27-18,14:17:07
.2740,-7.39746E-02,03-27-18,14:17:07
.2760,-1.10596E-01,03-27-18,14:17:07
.2780,-8.75244E-02,03-27-18,14:17:07
.2800,-1.70898E-02,03-27-18,14:17:07
.2820, 6.25000E-02,03-27-18,14:17:07
.2840, 1.08276E-01,03-27-18,14:17:07
.2860, 9.49707E-02,03-27-18,14:17:07
.2880, 2.97852E-02,03-23-18,14:17:07
