"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.6960, 8.45947E-02,03-24-18,14:17:34
.6980, 1.24146E-01,03-27-18,14:17:34
.7000, 1.16089E-01,03-27-18,14:17:34
.7020, 6.34766E-02,03-27-18,14:17:34
.7040,-1.34277E-02,03-27-18,14:17:34
.7060,-8.55713E-02,03-27-18,14:17:34
.7080,-1.25244E-01,03-27-18,14:17:34
.7100,-1.17065E-01,03-27-18,14:17:34
.7120,-6.44531E-02,03-27-18,14:17:34
.7140, 1.24512E-02,03-27-18,14:17:34
.7160, 8.45947E-02,03-27-18,14:17:34
.7180, 1.24146E-01,03-27-18,14:17:34
.7200, 1.16089E-01,03-27-18,14:17:34
.7220, 6.34766E-02,03-27-18,14:17:34
.7240,-1.35498E-02,03-27-18,14:17:34
.7260,-8.56934E-02,03-27-18,14:17:34
.7280,-1.25366E-01,03-27-18,14:17:34
.7300,-1.17310E-01,03-27-18,14:17:34
.7320,-6.45752E-02,03-27-18,14:17:34
.7340, 1.24512E-02,03-27-18,14:17:34
.7360, 8.45947E-02,03-27-18,14:17:34
.7380, 1.24146E-01,03-27-18,14:17:34
.7400, 1.16089E-01,03-27-18,14:17:34
.7420, 6.34766E-02,03-27-18,14:17:34
.7440,-1.35498E-02,03-27-18,14:17:34
.7460,-8.56934E-02,03-27-18,14:17:34
.7480,-1.25366E-01,03-27-18,14:17:34
.7500,-1.17188E-01,03-27-18,14:17:34
.7520,-6.45752E-02,03-27-18,14:17:34
.7540, 1.24512E-02,03-27-18,14:17:34
.7560, 8.45947E-02,03-27-18,14:17:34
.7580, 1.24023E-01,03-27-18,14:17:34
.7600, 1.15967E-01,03-27-18,14:17:34
.7620, 6.33545E-02,03-27-18,14:17:34
.7640,-1.36719E-02,03-27-18,14:17:34
.7660,-8.56934E-02,03-27-18,14:17:34
.7680,-1.25366E-01,03-27-18,14:17:34
.7700,-1.17188E-01,03-27-18,14:17:34
.7720,-6.44531E-02,03-27-18,14:17:34
.7740, 1.25732E-02,03-27-18,14:17:34
.7760, 8.45947E-02,03-27-18,14:17:34
.7780, 1.24023E-01,03-27-18,14:17:34
.7800, 1.14990E-01,03-27-18,14:17:34
.7820, 5.90820E-02,03-27-18,14:17:34
.7840,-2.19727E-02,03-27-18,14:17:34
.7860,-9.14307E-02,03-27-18,14:17:34
.7880,-1.13159E-01,03-27-18,14:17:34
.7900,-7.42188E-02,03-24-18,14:17:34
