"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.8940,-6.17676E-02,03-28-18,14:09:19
.8960,-7.59277E-02,03-27-18,14:09:19
.8980,-4.94385E-02,03-27-18,14:09:19
.9000, 2.80762E-03,03-27-18,14:09:19
.9020, 5.26123E-02,03-27-18,14:09:19
.9040, 7.29980E-02,03-27-18,14:09:19
.9060, 5.33447E-02,03-27-18,14:09:19
.9080, 4.63867E-03,03-27-18,14:09:19
.9100,-4.67529E-02,03-27-18,14:09:19
.9120,-7.29980E-02,03-27-18,14:09:19
.9140,-6.00586E-02,03-27-18,14:09:19
.9160,-1.51367E-02,03-27-18,14:09:19
.9180, 3.69873E-02,03-27-18,14:09:19
.9200, 6.84814E-02,03-27-18,14:09:19
.9220, 6.22559E-02,03-27-18,14:09:19
.9240, 2.18506E-02,03-27-18,14:09:19
.9260,-3.05176E-02,03-27-18,14:09:19
.9280,-6.66504E-02,03-27-18,14:09:19
.9300,-6.70166E-02,03-27-18,14:09:19
.9320,-3.16162E-02,03-27-18,14:09:19
.9340, 2.02637E-02,03-27-18,14:09:19
.9360, 6.03027E-02,03-27-18,14:09:19
.9380, 6.71387E-02,03-27-18,14:09:19
.9400, 3.71094E-02,03-27-18,14:09:19
.9420,-1.34277E-02,03-27-18,14:09:19
.9440,-5.71289E-02,03-27-18,14:09:19
.9460,-7.03125E-02,03-27-18,14:09:19
.9480,-4.57764E-02,03-27-18,14:09:19
.9500, 2.92969E-03,03-27-18,14:09:19
.9520, 4.95605E-02,03-27-18,14:09:19
.9540, 6.88477E-02,03-27-18,14:09:19
.9560, 5.01709E-02,03-27-18,14:09:19
.9580, 3.90625E-03,03-27-18,14:09:19
.9600,-4.50439E-02,03-27-18,14:09:19
.9620,-7.01904E-02,03-27-18,14:09:19
.9640,-5.77393E-02,03-27-18,14:09:19
.9660,-1.45264E-02,03-27-18,14:09:19
.9680, 3.60107E-02,03-27-18,14:09:19
.9700, 6.65283E-02,03-27-18,14:09:19
.9720, 6.04248E-02,03-27-18,14:09:19
.9740, 2.09961E-02,03-27-18,14:09:19
.9760,-3.02734E-02,03-27-18,14:09:19
.9780,-6.57959E-02,03-27-18,14:09:19
.9800,-6.61621E-02,03-27-18,14:09:19
.9820,-3.11279E-02,03-27-18,14:09:19
.9840, 2.01416E-02,03-27-18,14:09:19
.9860, 5.99365E-02,03-27-18,14:09:19
.9880, 6.67725E-02,03-28-18,14:09:19
