"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.0940,-7.25098E-02,03-28-18,14:09:19
.0960,-8.99658E-02,03-27-18,14:09:19
.0980,-5.88379E-02,03-27-18,14:09:19
.1000, 3.90625E-03,03-27-18,14:09:19
.1020, 6.46973E-02,03-27-18,14:09:19
.1040, 9.02100E-02,03-27-18,14:09:19
.1060, 6.64063E-02,03-27-18,14:09:19
.1080, 5.98145E-03,03-27-18,14:09:19
.1100,-5.84717E-02,03-27-18,14:09:19
.1120,-9.20410E-02,03-27-18,14:09:19
.1140,-7.60498E-02,03-27-18,14:09:19
.1160,-1.91650E-02,03-27-18,14:09:19
.1180, 4.79736E-02,03-27-18,14:09:19
.1200, 8.89893E-02,03-27-18,14:09:19
.1220, 8.12988E-02,03-27-18,14:09:19
.1240, 2.91748E-02,03-27-18,14:09:19
.1260,-3.93066E-02,03-27-18,14:09:19
.1280,-8.69141E-02,03-27-18,14:09:19
.1300,-8.78906E-02,03-27-18,14:09:19
.1320,-4.16260E-02,03-27-18,14:09:19
.1340, 2.67334E-02,03-27-18,14:09:19
.1360, 8.02002E-02,03-27-18,14:09:19
.1380, 8.97217E-02,03-27-18,14:09:19
.1400, 5.01709E-02,03-27-18,14:09:19
.1420,-1.69678E-02,03-27-18,14:09:19
.1440,-7.54395E-02,03-27-18,14:09:19
.1460,-9.35059E-02,03-27-18,14:09:19
.1480,-6.11572E-02,03-27-18,14:09:19
.1500, 3.78418E-03,03-27-18,14:09:19
.1520, 6.62842E-02,03-27-18,14:09:19
.1540, 9.25293E-02,03-27-18,14:09:19
.1560, 6.81152E-02,03-27-18,14:09:19
.1580, 6.34766E-03,03-27-18,14:09:19
.1600,-5.92041E-02,03-27-18,14:09:19
.1620,-9.31396E-02,03-27-18,14:09:19
.1640,-7.69043E-02,03-27-18,14:09:19
.1660,-1.94092E-02,03-27-18,14:09:19
.1680, 4.80957E-02,03-27-18,14:09:19
.1700, 8.92334E-02,03-27-18,14:09:19
.1720, 8.15430E-02,03-27-18,14:09:19
.1740, 2.92969E-02,03-27-18,14:09:19
.1760,-3.93066E-02,03-27-18,14:09:19
.1780,-8.70361E-02,03-27-18,14:09:19
.1800,-8.80127E-02,03-27-18,14:09:19
.1820,-4.16260E-02,03-27-18,14:09:19
.1840, 2.68555E-02,03-27-18,14:09:19
.1860, 8.03223E-02,03-27-18,14:09:19
.1880, 8.98438E-02,03-28-18,14:09:19
