"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.8320, 6.18896E-02,03-24-18,14:17:34
.8340,-1.95313E-02,03-27-18,14:17:34
.8360,-9.06982E-02,03-27-18,14:17:34
.8380,-1.12915E-01,03-27-18,14:17:34
.8400,-7.40967E-02,03-27-18,14:17:34
.8420, 4.51660E-03,03-27-18,14:17:34
.8440, 8.04443E-02,03-27-18,14:17:34
.8460, 1.12549E-01,03-27-18,14:17:34
.8480, 8.32520E-02,03-27-18,14:17:34
.8500, 8.54492E-03,03-27-18,14:17:34
.8520,-7.10449E-02,03-27-18,14:17:34
.8540,-1.12549E-01,03-27-18,14:17:34
.8560,-9.32617E-02,03-27-18,14:17:34
.8580,-2.36816E-02,03-27-18,14:17:34
.8600, 5.83496E-02,03-27-18,14:17:34
.8620, 1.08398E-01,03-27-18,14:17:34
.8640, 9.94873E-02,03-27-18,14:17:34
.8660, 3.63770E-02,03-27-18,14:17:34
.8680,-4.67529E-02,03-27-18,14:17:34
.8700,-1.04980E-01,03-27-18,14:17:34
.8720,-1.06445E-01,03-27-18,14:17:34
.8740,-5.05371E-02,03-27-18,14:17:34
.8760, 3.23486E-02,03-27-18,14:17:34
.8780, 9.75342E-02,03-27-18,14:17:34
.8800, 1.09497E-01,03-27-18,14:17:34
.8820, 6.17676E-02,03-27-18,14:17:34
.8840,-1.96533E-02,03-27-18,14:17:34
.8860,-9.08203E-02,03-27-18,14:17:34
.8880,-1.13037E-01,03-27-18,14:17:34
.8900,-7.42188E-02,03-27-18,14:17:34
.8920, 4.51660E-03,03-27-18,14:17:34
.8940, 8.04443E-02,03-27-18,14:17:34
.8960, 1.12549E-01,03-27-18,14:17:34
.8980, 8.32520E-02,03-27-18,14:17:34
.9000, 8.54492E-03,03-27-18,14:17:34
.9020,-7.10449E-02,03-27-18,14:17:34
.9040,-1.12549E-01,03-27-18,14:17:34
.9060,-9.32617E-02,03-27-18,14:17:34
.9080,-2.36816E-02,03-27-18,14:17:34
.9100, 5.83496E-02,03-27-18,14:17:34
.9120, 1.08398E-01,03-27-18,14:17:34
.9140, 9.94873E-02,03-27-18,14:17:34
.9160, 3.62549E-02,03-27-18,14:17:34
.9180,-4.68750E-02,03-27-18,14:17:34
.9200,-1.05103E-01,03-27-18,14:17:34
.9220,-1.06445E-01,03-27-18,14:17:34
.9240,-5.05371E-02,03-27-18,14:17:34
.9260, 3.24707E-02,03-24-18,14:17:34
