Averages of samples taken throughout the day: 03-25-18
"Root Mean Square", "Peak to Peak"
0.04991913166666667, 0.1656494
0.04501597791666665, 0.1429444
0.044965109166666656, 0.1431884
0.04492950291666666, 0.1431884
0.04544830104166666, 0.1516114
0.05297342708333333, 0.1604004
0.04517873416666667, 0.1431884
0.051081347916666665, 0.1604004
0.045430511874999996, 0.14306639999999998
0.045372018125, 0.1431885
0.04649862229166667, 0.1431885
0.06153360999999999, 0.19042969999999998
0.06834159729166668, 0.21984900000000002
0.07658128083333335, 0.251831
0.08318073041666665, 0.26965300000000003
0.0886434425, 0.280152
0.08765161958333333, 0.280518
0.08849336666666667, 0.279419
0.08310955541666666, 0.27124
0.08092501541666668, 0.25061
0.08268740958333333, 0.27124
0.07767729499999997, 0.245849
0.08939363708333335, 0.280396
0.08940891208333333, 0.280518
0.087954230625, 0.280274
0.08200328124999999, 0.249267
0.08201091666666667, 0.249389
0.08148450208333334, 0.249512
0.07336423145833333, 0.225708
0.07068631541666667, 0.225586
0.07309466083333335, 0.225586
0.11862180500000004, 0.37561100000000003
0.12220765791666666, 0.376831
0.12325793937500001, 0.37670899999999996
0.1171213945833333, 0.374633
0.10939529562499999, 0.355225
0.11731975729166666, 0.376221
0.09504700999999999, 0.304809
0.067624419375, 0.223023
0.06828563604166665, 0.223023
