"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.3940,-3.29590E-03,03-22-18,14:16:40
.3960, 4.63867E-02,03-22-18,14:16:40
.3980, 7.04346E-02,03-22-18,14:16:40
.4000, 5.59082E-02,03-22-18,14:16:40
.4020, 1.06201E-02,03-22-18,14:16:40
.4040,-4.08936E-02,03-22-18,14:16:40
.4060,-7.08008E-02,03-22-18,14:16:40
.4080,-6.27441E-02,03-22-18,14:16:40
.4100,-2.09961E-02,03-22-18,14:16:40
.4120, 3.14941E-02,03-22-18,14:16:40
.4140, 6.65283E-02,03-22-18,14:16:40
.4160, 6.50635E-02,03-22-18,14:16:40
.4180, 2.78320E-02,03-22-18,14:16:40
.4200,-2.49023E-02,03-22-18,14:16:40
.4220,-6.46973E-02,03-22-18,14:16:40
.4240,-6.98242E-02,03-22-18,14:16:40
.4260,-3.74756E-02,03-22-18,14:16:40
.4280, 1.46484E-02,03-22-18,14:16:40
.4300, 5.83496E-02,03-22-18,14:16:40
.4320, 7.00684E-02,03-22-18,14:16:40
.4340, 4.32129E-02,03-22-18,14:16:40
.4360,-7.32422E-03,03-22-18,14:16:40
.4380,-5.44434E-02,03-22-18,14:16:40
.4400,-7.25098E-02,03-22-18,14:16:40
.4420,-5.16357E-02,03-22-18,14:16:40
.4440,-3.17383E-03,03-22-18,14:16:40
.4460, 4.65088E-02,03-22-18,14:16:40
.4480, 7.06787E-02,03-22-18,14:16:40
.4500, 5.60303E-02,03-22-18,14:16:40
.4520, 1.06201E-02,03-22-18,14:16:40
.4540,-4.10156E-02,03-22-18,14:16:40
.4560,-7.09229E-02,03-22-18,14:16:40
.4580,-6.27441E-02,03-22-18,14:16:40
.4600,-2.09961E-02,03-22-18,14:16:40
.4620, 3.14941E-02,03-22-18,14:16:40
.4640, 6.65283E-02,03-22-18,14:16:40
.4660, 6.50635E-02,03-22-18,14:16:40
.4680, 2.78320E-02,03-22-18,14:16:40
.4700,-2.49023E-02,03-22-18,14:16:40
.4720,-6.46973E-02,03-22-18,14:16:40
.4740,-7.01904E-02,03-22-18,14:16:40
.4760,-3.93066E-02,03-22-18,14:16:40
.4780, 1.09863E-02,03-22-18,14:16:40
.4800, 5.67627E-02,03-22-18,14:16:40
.4820, 7.91016E-02,03-22-18,14:16:40
.4840, 7.04346E-02,03-22-18,14:16:40
.4860, 3.43018E-02,03-22-18,14:16:40
.4880,-1.51367E-02,03-22-18,14:16:40
