"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.4980, 1.24023E-01,03-24-18,14:17:34
.5000, 1.16089E-01,03-27-18,14:17:34
.5020, 6.35986E-02,03-27-18,14:17:34
.5040,-1.34277E-02,03-27-18,14:17:34
.5060,-8.55713E-02,03-27-18,14:17:34
.5080,-1.25244E-01,03-27-18,14:17:34
.5100,-1.17310E-01,03-27-18,14:17:34
.5120,-6.46973E-02,03-27-18,14:17:34
.5140, 1.23291E-02,03-27-18,14:17:34
.5160, 8.43506E-02,03-27-18,14:17:34
.5180, 1.24023E-01,03-27-18,14:17:34
.5200, 1.16089E-01,03-27-18,14:17:34
.5220, 6.35986E-02,03-27-18,14:17:34
.5240,-1.33057E-02,03-27-18,14:17:34
.5260,-8.54492E-02,03-27-18,14:17:34
.5280,-1.25244E-01,03-27-18,14:17:34
.5300,-1.17310E-01,03-27-18,14:17:34
.5320,-6.46973E-02,03-27-18,14:17:34
.5340, 1.23291E-02,03-27-18,14:17:34
.5360, 8.44727E-02,03-27-18,14:17:34
.5380, 1.24023E-01,03-27-18,14:17:34
.5400, 1.16089E-01,03-27-18,14:17:34
.5420, 6.34766E-02,03-27-18,14:17:34
.5440,-1.34277E-02,03-27-18,14:17:34
.5460,-8.55713E-02,03-27-18,14:17:34
.5480,-1.25244E-01,03-27-18,14:17:34
.5500,-1.17310E-01,03-27-18,14:17:34
.5520,-6.46973E-02,03-27-18,14:17:34
.5540, 1.23291E-02,03-27-18,14:17:34
.5560, 8.44727E-02,03-27-18,14:17:34
.5580, 1.24023E-01,03-27-18,14:17:34
.5600, 1.16089E-01,03-27-18,14:17:34
.5620, 6.34766E-02,03-27-18,14:17:34
.5640,-1.34277E-02,03-27-18,14:17:34
.5660,-8.55713E-02,03-27-18,14:17:34
.5680,-1.25244E-01,03-27-18,14:17:34
.5700,-1.17188E-01,03-27-18,14:17:34
.5720,-6.46973E-02,03-27-18,14:17:34
.5740, 1.23291E-02,03-27-18,14:17:34
.5760, 8.44727E-02,03-27-18,14:17:34
.5780, 1.24023E-01,03-27-18,14:17:34
.5800, 1.16089E-01,03-27-18,14:17:34
.5820, 6.34766E-02,03-27-18,14:17:34
.5840,-1.34277E-02,03-27-18,14:17:34
.5860,-8.55713E-02,03-27-18,14:17:34
.5880,-1.25244E-01,03-27-18,14:17:34
.5900,-1.17310E-01,03-27-18,14:17:34
.5920,-6.46973E-02,03-24-18,14:17:34
