"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.8580,-8.11768E-02,03-25-18,14:17:58
.8600,-3.18604E-02,03-27-18,14:17:58
.8620, 2.47803E-02,03-27-18,14:17:58
.8640, 7.48291E-02,03-27-18,14:17:58
.8660, 1.05957E-01,03-27-18,14:17:58
.8680, 1.10718E-01,03-27-18,14:17:58
.8700, 8.80127E-02,03-27-18,14:17:58
.8720, 4.33350E-02,03-27-18,14:17:58
.8740,-1.19629E-02,03-27-18,14:17:58
.8760,-6.43311E-02,03-27-18,14:17:58
.8780,-1.00708E-01,03-27-18,14:17:58
.8800,-1.12305E-01,03-27-18,14:17:58
.8820,-9.61914E-02,03-27-18,14:17:58
.8840,-5.65186E-02,03-27-18,14:17:58
.8860,-3.29590E-03,03-27-18,14:17:58
.8880, 5.02930E-02,03-27-18,14:17:58
.8900, 9.11865E-02,03-27-18,14:17:58
.8920, 1.09253E-01,03-27-18,14:17:58
.8940, 1.00098E-01,03-27-18,14:17:58
.8960, 6.60400E-02,03-27-18,14:17:58
.8980, 1.57471E-02,03-27-18,14:17:58
.9000,-3.84521E-02,03-27-18,14:17:58
.9020,-8.31299E-02,03-27-18,14:17:58
.9040,-1.07300E-01,03-27-18,14:17:58
.9060,-1.04980E-01,03-27-18,14:17:58
.9080,-7.67822E-02,03-27-18,14:17:58
.9100,-3.00293E-02,03-27-18,14:17:58
.9120, 2.35596E-02,03-27-18,14:17:58
.9140, 7.10449E-02,03-27-18,14:17:58
.9160, 1.00464E-01,03-27-18,14:17:58
.9180, 1.04736E-01,03-27-18,14:17:58
.9200, 8.30078E-02,03-27-18,14:17:58
.9220, 4.07715E-02,03-27-18,14:17:58
.9240,-1.13525E-02,03-27-18,14:17:58
.9260,-6.06689E-02,03-27-18,14:17:58
.9280,-9.49707E-02,03-27-18,14:17:58
.9300,-1.05835E-01,03-27-18,14:17:58
.9320,-9.05762E-02,03-27-18,14:17:58
.9340,-5.33447E-02,03-27-18,14:17:58
.9360,-3.17383E-03,03-27-18,14:17:58
.9380, 4.73633E-02,03-27-18,14:17:58
.9400, 8.59375E-02,03-27-18,14:17:58
.9420, 1.02905E-01,03-27-18,14:17:58
.9440, 9.43604E-02,03-27-18,14:17:58
.9460, 6.22559E-02,03-27-18,14:17:58
.9480, 1.46484E-02,03-27-18,14:17:58
.9500,-3.66211E-02,03-27-18,14:17:58
.9520,-7.91016E-02,03-25-18,14:17:58
