"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.6940, 1.21826E-01,03-27-18,14:18:57
.6960, 1.73462E-01,03-27-18,14:18:57
.6980, 2.00562E-01,03-27-18,14:18:57
.7000, 1.99463E-01,03-27-18,14:18:57
.7020, 1.70410E-01,03-27-18,14:18:57
.7040, 1.17310E-01,03-27-18,14:18:57
.7060, 4.76074E-02,03-27-18,14:18:57
.7080,-2.88086E-02,03-27-18,14:18:57
.7100,-1.01318E-01,03-27-18,14:18:57
.7120,-1.59668E-01,03-27-18,14:18:57
.7140,-1.95679E-01,03-27-18,14:18:57
.7160,-2.04224E-01,03-27-18,14:18:57
.7180,-1.84082E-01,03-27-18,14:18:57
.7200,-1.38184E-01,03-27-18,14:18:57
.7220,-7.28760E-02,03-27-18,14:18:57
.7240, 2.44141E-03,03-27-18,14:18:57
.7260, 7.73926E-02,03-27-18,14:18:57
.7280, 1.41357E-01,03-27-18,14:18:57
.7300, 1.85425E-01,03-27-18,14:18:57
.7320, 2.03491E-01,03-27-18,14:18:57
.7340, 1.92871E-01,03-27-18,14:18:57
.7360, 1.55029E-01,03-27-18,14:18:57
.7380, 9.53369E-02,03-27-18,14:18:57
.7400, 2.23389E-02,03-27-18,14:18:57
.7420,-5.39551E-02,03-27-18,14:18:57
.7440,-1.22925E-01,03-27-18,14:18:57
.7460,-1.74561E-01,03-27-18,14:18:57
.7480,-2.01660E-01,03-27-18,14:18:57
.7500,-2.00562E-01,03-27-18,14:18:57
.7520,-1.71387E-01,03-27-18,14:18:57
.7540,-1.18164E-01,03-27-18,14:18:57
.7560,-4.83398E-02,03-27-18,14:18:57
.7580, 2.79541E-02,03-27-18,14:18:57
.7600, 1.00464E-01,03-27-18,14:18:57
.7620, 1.58691E-01,03-27-18,14:18:57
.7640, 1.94580E-01,03-27-18,14:18:57
.7660, 2.03125E-01,03-27-18,14:18:57
.7680, 1.82983E-01,03-27-18,14:18:57
.7700, 1.37207E-01,03-27-18,14:18:57
.7720, 7.20215E-02,03-27-18,14:18:57
.7740,-3.29590E-03,03-27-18,14:18:57
.7760,-7.82471E-02,03-27-18,14:18:57
.7780,-1.42456E-01,03-27-18,14:18:57
.7800,-1.86646E-01,03-27-18,14:18:57
.7820,-2.04590E-01,03-27-18,14:18:57
.7840,-1.93970E-01,03-27-18,14:18:57
.7860,-1.56006E-01,03-27-18,14:18:57
.7880,-9.63135E-02,03-27-18,14:18:57
