"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.0000, 2.68555E-03,03-22-18,14:09:19
.0020, 5.35889E-02,03-22-18,14:09:19
.0040, 7.50732E-02,03-22-18,14:09:19
.0060, 5.51758E-02,03-22-18,14:09:19
.0080, 4.88281E-03,03-22-18,14:09:19
.0100,-4.84619E-02,03-22-18,14:09:19
.0120,-7.61719E-02,03-22-18,14:09:19
.0140,-6.29883E-02,03-22-18,14:09:19
.0160,-1.62354E-02,03-22-18,14:09:19
.0180, 3.88184E-02,03-22-18,14:09:19
.0200, 7.23877E-02,03-22-18,14:09:19
.0220, 6.62842E-02,03-22-18,14:09:19
.0240, 2.36816E-02,03-22-18,14:09:19
.0260,-3.21045E-02,03-22-18,14:09:19
.0280,-7.11670E-02,03-22-18,14:09:19
.0300,-7.20215E-02,03-22-18,14:09:19
.0320,-3.43018E-02,03-22-18,14:09:19
.0340, 2.14844E-02,03-22-18,14:09:19
.0360, 6.51855E-02,03-22-18,14:09:19
.0380, 7.29980E-02,03-22-18,14:09:19
.0400, 4.07715E-02,03-22-18,14:09:19
.0420,-1.40381E-02,03-22-18,14:09:19
.0440,-6.18896E-02,03-22-18,14:09:19
.0460,-7.66602E-02,03-22-18,14:09:19
.0480,-5.02930E-02,03-22-18,14:09:19
.0500, 3.05176E-03,03-22-18,14:09:19
.0520, 5.45654E-02,03-22-18,14:09:19
.0540, 7.64160E-02,03-22-18,14:09:19
.0560, 5.61523E-02,03-22-18,14:09:19
.0580, 4.51660E-03,03-22-18,14:09:19
.0600,-5.09033E-02,03-22-18,14:09:19
.0620,-7.99561E-02,03-22-18,14:09:19
.0640,-6.61621E-02,03-22-18,14:09:19
.0660,-1.62354E-02,03-22-18,14:09:19
.0680, 4.29688E-02,03-22-18,14:09:19
.0700, 7.95898E-02,03-22-18,14:09:19
.0720, 7.27539E-02,03-22-18,14:09:19
.0740, 2.57568E-02,03-22-18,14:09:19
.0760,-3.63770E-02,03-22-18,14:09:19
.0780,-8.00781E-02,03-22-18,14:09:19
.0800,-8.10547E-02,03-22-18,14:09:19
.0820,-3.82080E-02,03-22-18,14:09:19
.0840, 2.53906E-02,03-22-18,14:09:19
.0860, 7.55615E-02,03-22-18,14:09:19
.0880, 8.45947E-02,03-22-18,14:09:19
.0900, 4.73633E-02,03-22-18,14:09:19
.0920,-1.66016E-02,03-22-18,14:09:19
.0940,-7.25098E-02,03-22-18,14:09:19
