"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.0300,-7.11670E-02,03-24-18,14:17:34
.0320, 4.76074E-03,03-24-18,14:17:34
.0340, 7.86133E-02,03-24-18,14:17:34
.0360, 1.22314E-01,03-24-18,14:17:34
.0380, 1.18896E-01,03-24-18,14:17:34
.0400, 6.99463E-02,03-24-18,14:17:34
.0420,-5.85938E-03,03-24-18,14:17:34
.0440,-7.98340E-02,03-24-18,14:17:34
.0460,-1.23413E-01,03-24-18,14:17:34
.0480,-1.20117E-01,03-24-18,14:17:34
.0500,-7.11670E-02,03-24-18,14:17:34
.0520, 4.63867E-03,03-24-18,14:17:34
.0540, 7.86133E-02,03-24-18,14:17:34
.0560, 1.22192E-01,03-24-18,14:17:34
.0580, 1.18896E-01,03-24-18,14:17:34
.0600, 7.00684E-02,03-24-18,14:17:34
.0620,-5.85938E-03,03-24-18,14:17:34
.0640,-7.97119E-02,03-24-18,14:17:34
.0660,-1.23413E-01,03-24-18,14:17:34
.0680,-1.20117E-01,03-24-18,14:17:34
.0700,-7.10449E-02,03-24-18,14:17:34
.0720, 4.76074E-03,03-24-18,14:17:34
.0740, 7.86133E-02,03-24-18,14:17:34
.0760, 1.22192E-01,03-24-18,14:17:34
.0780, 1.18896E-01,03-24-18,14:17:34
.0800, 6.99463E-02,03-24-18,14:17:34
.0820,-5.85938E-03,03-24-18,14:17:34
.0840,-7.97119E-02,03-24-18,14:17:34
.0860,-1.23413E-01,03-24-18,14:17:34
.0880,-1.20117E-01,03-24-18,14:17:34
.0900,-7.11670E-02,03-24-18,14:17:34
.0920, 4.76074E-03,03-24-18,14:17:34
.0940, 7.86133E-02,03-24-18,14:17:34
.0960, 1.22192E-01,03-24-18,14:17:34
.0980, 1.18896E-01,03-24-18,14:17:34
.1000, 6.99463E-02,03-24-18,14:17:34
.1020,-5.98145E-03,03-24-18,14:17:34
.1040,-7.98340E-02,03-24-18,14:17:34
.1060,-1.23535E-01,03-24-18,14:17:34
.1080,-1.20239E-01,03-24-18,14:17:34
.1100,-7.11670E-02,03-24-18,14:17:34
.1120, 4.63867E-03,03-24-18,14:17:34
.1140, 7.86133E-02,03-24-18,14:17:34
.1320, 4.88281E-03,03-24-18,14:17:34
.1340, 7.87354E-02,03-24-18,14:17:34
.1360, 1.22314E-01,03-24-18,14:17:34
.1380, 1.18896E-01,03-24-18,14:17:34
.1400, 6.99463E-02,03-24-18,14:17:34
