"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.8920, 9.79004E-02,03-27-18,14:18:32
.8940, 7.21436E-02,03-27-18,14:18:32
.8960, 4.54102E-02,03-27-18,14:18:32
.8980, 1.78223E-02,03-27-18,14:18:32
.9000,-9.88770E-03,03-27-18,14:18:32
.9020,-3.75977E-02,03-27-18,14:18:32
.9040,-6.48193E-02,03-27-18,14:18:32
.9060,-9.09424E-02,03-27-18,14:18:32
.9080,-1.15723E-01,03-27-18,14:18:32
.9100,-1.38794E-01,03-27-18,14:18:32
.9120,-1.59424E-01,03-27-18,14:18:32
.9140,-1.77734E-01,03-27-18,14:18:32
.9160,-1.93115E-01,03-27-18,14:18:32
.9180,-2.05566E-01,03-27-18,14:18:32
.9200,-2.14722E-01,03-27-18,14:18:32
.9220,-2.20459E-01,03-27-18,14:18:32
.9240,-2.22778E-01,03-27-18,14:18:32
.9260,-2.21558E-01,03-27-18,14:18:32
.9280,-2.16919E-01,03-27-18,14:18:32
.9300,-2.08862E-01,03-27-18,14:18:32
.9320,-1.97388E-01,03-27-18,14:18:32
.9340,-1.82861E-01,03-27-18,14:18:32
.9360,-1.65405E-01,03-27-18,14:18:32
.9380,-1.45386E-01,03-27-18,14:18:32
.9400,-1.23169E-01,03-27-18,14:18:32
.9420,-9.88770E-02,03-27-18,14:18:32
.9440,-7.29980E-02,03-27-18,14:18:32
.9460,-4.61426E-02,03-27-18,14:18:32
.9480,-1.85547E-02,03-27-18,14:18:32
.9500, 9.27734E-03,03-27-18,14:18:32
.9520, 3.69873E-02,03-27-18,14:18:32
.9540, 6.40869E-02,03-27-18,14:18:32
.9560, 9.02100E-02,03-27-18,14:18:32
.9580, 1.14990E-01,03-27-18,14:18:32
.9600, 1.37817E-01,03-27-18,14:18:32
.9620, 1.58569E-01,03-27-18,14:18:32
.9640, 1.76758E-01,03-27-18,14:18:32
.9660, 1.92261E-01,03-27-18,14:18:32
.9680, 2.04590E-01,03-27-18,14:18:32
.9700, 2.13745E-01,03-27-18,14:18:32
.9720, 2.19482E-01,03-27-18,14:18:32
.9740, 2.21680E-01,03-27-18,14:18:32
.9760, 2.20581E-01,03-27-18,14:18:32
.9780, 2.15820E-01,03-27-18,14:18:32
.9800, 2.07764E-01,03-27-18,14:18:32
.9820, 1.96411E-01,03-27-18,14:18:32
.9840, 1.81885E-01,03-27-18,14:18:32
.9860, 1.64429E-01,03-27-18,14:18:32
