"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.3940, 1.22070E-02,03-26-18,14:18:32
.3960,-3.46680E-02,03-26-18,14:18:32
.3980,-7.95898E-02,03-26-18,14:18:32
.4000,-1.19629E-01,03-26-18,14:18:32
.4020,-1.52100E-01,03-26-18,14:18:32
.4040,-1.75049E-01,03-26-18,14:18:32
.4060,-1.87012E-01,03-26-18,14:18:32
.4080,-1.87134E-01,03-26-18,14:18:32
.4100,-1.75659E-01,03-26-18,14:18:32
.4120,-1.53076E-01,03-26-18,14:18:32
.4140,-1.20850E-01,03-26-18,14:18:32
.4160,-8.11768E-02,03-26-18,14:18:32
.4180,-3.62549E-02,03-26-18,14:18:32
.4200, 1.06201E-02,03-26-18,14:18:32
.4220, 5.68848E-02,03-26-18,14:18:32
.4240, 9.94873E-02,03-26-18,14:18:32
.4260, 1.35864E-01,03-26-18,14:18:32
.4280, 1.63818E-01,03-26-18,14:18:32
.4300, 1.81396E-01,03-26-18,14:18:32
.4320, 1.87378E-01,03-26-18,14:18:32
.4340, 1.81763E-01,03-26-18,14:18:32
.4360, 1.64551E-01,03-26-18,14:18:32
.4380, 1.36963E-01,03-26-18,14:18:32
.4400, 1.00830E-01,03-26-18,14:18:32
.4420, 5.83496E-02,03-26-18,14:18:32
.4440, 1.20850E-02,03-26-18,14:18:32
.4460,-3.47900E-02,03-26-18,14:18:32
.4480,-7.97119E-02,03-26-18,14:18:32
.4500,-1.19629E-01,03-26-18,14:18:32
.4520,-1.52100E-01,03-26-18,14:18:32
.4540,-1.75049E-01,03-26-18,14:18:32
.4560,-1.87012E-01,03-26-18,14:18:32
.4580,-1.87256E-01,03-26-18,14:18:32
.4600,-1.75659E-01,03-26-18,14:18:32
.4620,-1.52954E-01,03-26-18,14:18:32
.4640,-1.20850E-01,03-26-18,14:18:32
.4660,-8.10547E-02,03-26-18,14:18:32
.4680,-3.63770E-02,03-26-18,14:18:32
.4700, 1.04980E-02,03-26-18,14:18:32
.4720, 5.67627E-02,03-26-18,14:18:32
.4740, 9.93652E-02,03-26-18,14:18:32
.4760, 1.35864E-01,03-26-18,14:18:32
.4780, 1.63818E-01,03-26-18,14:18:32
.4800, 1.81396E-01,03-26-18,14:18:32
.4820, 1.87500E-01,03-26-18,14:18:32
.4840, 1.81763E-01,03-26-18,14:18:32
.4860, 1.65039E-01,03-26-18,14:18:32
.4880, 1.40381E-01,03-26-18,14:18:32
