"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.6800,-1.53320E-01,03-25-18,14:17:58
.6820,-1.31470E-01,03-25-18,14:17:58
.6840,-7.72705E-02,03-25-18,14:17:58
.6860,-4.15039E-03,03-25-18,14:17:58
.6880, 6.98242E-02,03-25-18,14:17:58
.6900, 1.26343E-01,03-25-18,14:17:58
.6920, 1.51489E-01,03-25-18,14:17:58
.6940, 1.39160E-01,03-25-18,14:17:58
.6960, 9.22852E-02,03-25-18,14:17:58
.6980, 2.24609E-02,03-25-18,14:17:58
.7000,-5.29785E-02,03-25-18,14:17:58
.7020,-1.15479E-01,03-25-18,14:17:58
.7040,-1.49414E-01,03-25-18,14:17:58
.7060,-1.46362E-01,03-25-18,14:17:58
.7080,-1.07300E-01,03-25-18,14:17:58
.7100,-4.18701E-02,03-25-18,14:17:58
.7120, 3.35693E-02,03-25-18,14:17:58
.7140, 1.00342E-01,03-25-18,14:17:58
.7160, 1.42212E-01,03-25-18,14:17:58
.7180, 1.48560E-01,03-25-18,14:17:58
.7200, 1.18164E-01,03-25-18,14:17:58
.7220, 5.85938E-02,03-25-18,14:17:58
.7240,-1.55029E-02,03-25-18,14:17:58
.7260,-8.56934E-02,03-25-18,14:17:58
.7280,-1.34766E-01,03-25-18,14:17:58
.7300,-1.50391E-01,03-25-18,14:17:58
.7320,-1.28906E-01,03-25-18,14:17:58
.7340,-7.58057E-02,03-25-18,14:17:58
.7360,-4.15039E-03,03-25-18,14:17:58
.7380, 6.81152E-02,03-25-18,14:17:58
.7400, 1.23535E-01,03-25-18,14:17:58
.7420, 1.48071E-01,03-25-18,14:17:58
.7440, 1.35864E-01,03-25-18,14:17:58
.7460, 8.99658E-02,03-25-18,14:17:58
.7480, 2.17285E-02,03-25-18,14:17:58
.7500,-5.17578E-02,03-25-18,14:17:58
.7520,-1.12549E-01,03-25-18,14:17:58
.7540,-1.45508E-01,03-25-18,14:17:58
.7560,-1.42578E-01,03-25-18,14:17:58
.7580,-1.04492E-01,03-25-18,14:17:58
.7600,-4.07715E-02,03-25-18,14:17:58
.7620, 3.25928E-02,03-25-18,14:17:58
.7640, 9.76563E-02,03-25-18,14:17:58
.7660, 1.38306E-01,03-25-18,14:17:58
.7680, 1.44409E-01,03-25-18,14:17:58
.7700, 1.14746E-01,03-25-18,14:17:58
.7720, 5.67627E-02,03-25-18,14:17:58
.7740,-1.50146E-02,03-25-18,14:17:58
