"Samples per sec. = 500/1"
"sec","g's","Date","Time"
.0240, 4.15039E-03,03-27-18,14:18:57
.0260, 5.74951E-02,03-27-18,14:18:57
.0280, 1.07300E-01,03-27-18,14:18:57
.0300, 1.50269E-01,03-27-18,14:18:57
.0320, 1.83838E-01,03-27-18,14:18:57
.0340, 2.05688E-01,03-27-18,14:18:57
.0360, 2.14722E-01,03-27-18,14:18:57
.0380, 2.10083E-01,03-27-18,14:18:57
.0400, 1.92383E-01,03-27-18,14:18:57
.0420, 1.62476E-01,03-27-18,14:18:57
.0440, 1.22437E-01,03-27-18,14:18:57
.0460, 7.45850E-02,03-27-18,14:18:57
.0480, 2.20947E-02,03-27-18,14:18:57
.0500,-3.18604E-02,03-27-18,14:18:57
.0520,-8.38623E-02,03-27-18,14:18:57
.0540,-1.30615E-01,03-27-18,14:18:57
.0560,-1.69312E-01,03-27-18,14:18:57
.0580,-1.97388E-01,03-27-18,14:18:57
.0600,-2.13013E-01,03-27-18,14:18:57
.0620,-2.15210E-01,03-27-18,14:18:57
.0640,-2.03979E-01,03-27-18,14:18:57
.0660,-1.79932E-01,03-27-18,14:18:57
.0680,-1.44531E-01,03-27-18,14:18:57
.0700,-1.00098E-01,03-27-18,14:18:57
.0720,-4.94385E-02,03-27-18,14:18:57
.0740, 4.15039E-03,03-27-18,14:18:57
.0760, 5.74951E-02,03-27-18,14:18:57
.0780, 1.07300E-01,03-27-18,14:18:57
.0800, 1.50269E-01,03-27-18,14:18:57
.0820, 1.83838E-01,03-27-18,14:18:57
.0840, 2.05688E-01,03-27-18,14:18:57
.0860, 2.14722E-01,03-27-18,14:18:57
.0880, 2.10205E-01,03-27-18,14:18:57
.0900, 1.92383E-01,03-27-18,14:18:57
.0920, 1.62476E-01,03-27-18,14:18:57
.0940, 1.22314E-01,03-27-18,14:18:57
.0960, 7.44629E-02,03-27-18,14:18:57
.0980, 2.19727E-02,03-27-18,14:18:57
.1000,-3.18604E-02,03-27-18,14:18:57
.1020,-8.38623E-02,03-27-18,14:18:57
.1040,-1.30737E-01,03-27-18,14:18:57
.1060,-1.69434E-01,03-27-18,14:18:57
.1080,-1.97388E-01,03-27-18,14:18:57
.1100,-2.13013E-01,03-27-18,14:18:57
.1120,-2.15210E-01,03-27-18,14:18:57
.1140,-2.03979E-01,03-27-18,14:18:57
.1160,-1.79932E-01,03-27-18,14:18:57
.1180,-1.44531E-01,03-27-18,14:18:57
